id;real_name;id_guild_server;id_bot;activated;type;plateform
1;SAS Missouri indexing;6040;28647;false;EVENT;TWITCH
2;hack Metal;43448;93655;true;EVENT;TWITCH
3;Table flexibility;29139;81407;true;COMMAND;DISCORD
4;input Berkshire Fantastic;30732;85595;false;EVENT;DISCORD
5;Towels;26554;64207;true;OTHER;TWITCH
6;sensor Auto Loan Account bus;88621;54828;false;COMMAND;DISCORD
7;Soft EXE Dynamic;93919;64279;true;OTHER;DISCORD
8;Money Market Account payment;37575;71221;false;EVENT;DISCORD
9;Rubber;21824;21558;false;EVENT;TWITCH
10;Bacon Ball;60130;35089;false;COMMAND;DISCORD
